,date,ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0,2018-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-08-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-08-12 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0
4,2018-08-13 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
5,2018-08-14 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
6,2018-08-15 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
7,2018-08-16 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
8,2018-08-17 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
9,2018-08-18 00:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
10,2018-08-19 00:00:00+00:00,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
11,2018-08-20 00:00:00+00:00,0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
12,2018-08-21 00:00:00+00:00,0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
13,2018-08-22 00:00:00+00:00,0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
14,2018-08-23 00:00:00+00:00,0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
15,2018-08-24 00:00:00+00:00,0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
16,2018-08-25 00:00:00+00:00,0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
17,2018-08-26 00:00:00+00:00,2.5461187407736228,1.2384058440442351,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.8807970779778824,3.0,3.0,3.0,3.0,0.0,0.11920292202211756,3.0,3.0,0.0,1.0
18,2018-08-27 00:00:00+00:00,2.5461187407736228,1.2384058440442351,3.0,0.0,1.0,3.0,0.0,3.0,2.7949364845330376,0.8807970779778824,3.0,3.0,3.0,3.0,0.0,0.11920292202211756,3.0,3.0,0.0,1.0
19,2018-08-28 00:00:00+00:00,2.5461187407736228,1.2384058440442351,3.0,0.0,1.0,3.0,0.0,3.0,2.7949364845330376,0.8807970779778824,3.0,3.0,3.0,0.1493542831813724,0.0,0.11920292202211756,3.0,3.0,0.0,1.0
20,2018-08-29 00:00:00+00:00,2.5461187407736228,1.2384058440442351,3.0,0.0,1.0,3.0,0.0,3.0,2.7949364845330376,0.8807970779778824,3.0,3.0,3.0,0.1493542831813724,0.0,0.11920292202211756,3.0,3.0,0.0,1.0
